Lattice	 Free energy
5.100	-67.82251065
5.110	-67.84578129
5.120	-67.86531466
5.130	-67.88108891
5.140	-67.89307418
5.150	-67.90148088
5.160	-67.90635337
5.161	-67.9066471
5.162	-67.90693117
5.163	-67.90714776
5.164	-67.90731685
5.165	-67.90746869
5.166	-67.90755029
5.167	-67.90766309
5.168	-67.9077208
5.169	-67.90772147
5.170	-67.90770237
5.171	-67.90764525
5.172	-67.9075567
5.173	-67.90740416
5.174	-67.90721912
5.175	-67.90701129
5.176	-67.90679016
5.177	-67.90654086
5.178	-67.90625852
5.179	-67.90590632
5.180	-67.90555622
5.190	-67.90000063
5.200	-67.89101964
