Lattice	 Free energy
5.000	-51.09575169
5.010	-51.11229613
5.020	-51.12335107
5.030	-51.13093262
5.040	-51.13623884
5.041	-51.13656835
5.042	-51.13686805
5.043	-51.13713053
5.044	-51.13736696
5.045	-51.13758144
5.046	-51.13776578
5.047	-51.13791572
5.048	-51.13802901
5.049	-51.13810914
5.050	-51.13816856
5.051	-51.13817563
5.052	-51.13822169
5.053	-51.13819439
5.054	-51.13804873
5.055	-51.13806532
5.056	-51.13795288
5.057	-51.13780938
5.058	-51.13744852
5.059	-51.1371521
5.060	-51.13720256
5.070	-51.133321
5.080	-51.12651846
5.090	-51.11703511
5.100	-51.10476023
