Lattice	 Free energy
4.620	-52.76011491
4.630	-52.78074402
4.640	-52.79803165
4.650	-52.81205227
4.660	-52.82290359
4.670	-52.83057914
4.680	-52.83518883
4.681	-52.83546447
4.682	-52.83571504
4.683	-52.8359552
4.684	-52.83615429
4.685	-52.83630484
4.686	-52.83644244
4.687	-52.83654077
4.688	-52.83661623
4.689	-52.8366782
4.690	-52.8366962
4.691	-52.83669777
4.692	-52.83663257
4.693	-52.83656269
4.694	-52.8364522
4.695	-52.83631716
4.696	-52.83614643
4.697	-52.83594659
4.698	-52.83571754
4.699	-52.83546143
4.700	-52.83516751
4.710	-52.83067499
4.720	-52.82323773
