Lattice	 Distance	 Free energy
5.020000	3.381855	-142.26327444
5.025000	3.382335	-142.27723786
5.030000	3.379860	-142.27957902
5.031000	3.367951	-142.28104233
5.032000	3.378877	-142.28353004
5.033000	3.380681	-142.28490955
5.034000	3.383650	-142.28573492
5.035000	3.378734	-142.28610181
5.036000	3.373204	-142.28920703
5.037000	3.370746	-142.28782047
5.038000	3.373857	-142.28690473
5.039000	3.379188	-142.28691404
5.040000	3.333076	-142.28913738
5.041000	3.371100	-142.29107605
5.042000	3.377282	-142.28976983
5.043000	3.381170	-142.28948419
5.044000	3.366951	-142.28910041
5.045000	3.380030	-142.29216338
5.046000	3.377666	-142.29045279
5.047000	3.380672	-142.29027468
5.048000	3.365508	-142.29049672
5.049000	3.370516	-142.287717
5.050000	3.386451	-142.2869222
5.055000	3.379581	-142.28580488
5.060000	3.379541	-142.27737866
