Lattice	 Distance	 Free energy
5.020000	3.375931	-142.2684565
5.025000	3.373593	-142.27743286
5.030000	3.375500	-142.28418656
5.031000	3.381259	-142.28534445
5.032000	3.381432	-142.28640579
5.033000	3.375033	-142.28737402
5.034000	3.377377	-142.28828731
5.035000	3.377289	-142.28908207
5.036000	3.376145	-142.28974934
5.037000	3.376242	-142.29050862
5.038000	3.378068	-142.29100698
5.039000	3.376658	-142.29145552
5.040000	3.377285	-142.29181332
5.041000	3.377203	-142.29209693
5.042000	3.376598	-142.29234582
5.043000	3.377302	-142.29246012
5.044000	3.376842	-142.29249386
5.045000	3.377725	-142.29250139
5.046000	3.377826	-142.29244398
5.047000	3.378183	-142.2922151
5.048000	3.382345	-142.29188397
5.049000	3.382396	-142.2914931
5.050000	3.378619	-142.29114519
5.055000	3.378571	-142.28788995
5.060000	3.379174	-142.28245211
