Lattice	 Distance	 Free energy
5.020000	3.432011	-142.25100823
5.025000	3.432056	-142.25993988
5.030000	3.432103	-142.26665562
5.031000	3.432113	-142.26783087
5.032000	3.432126	-142.26888526
5.033000	3.432135	-142.26981955
5.034000	3.432141	-142.27072633
5.035000	3.432151	-142.27151329
5.036000	3.432166	-142.27216978
5.037000	3.432171	-142.27292126
5.038000	3.432180	-142.27341514
5.039000	3.432196	-142.27385143
5.040000	3.432200	-142.27420197
5.041000	3.432211	-142.27447693
5.042000	3.432221	-142.27471693
5.043000	3.432239	-142.27482337
5.044000	3.432250	-142.27484695
5.045000	3.432262	-142.27484833
5.046000	3.432272	-142.27478263
5.047000	3.432284	-142.2745453
5.048000	3.432295	-142.27422227
5.049000	3.432307	-142.27382143
5.050000	3.432318	-142.27344878
5.055000	3.437509	-142.27016734
5.060000	3.437502	-142.26468855
