Lattice	 Distance	 Free energy
4.955000	3.515692	-125.89553011
4.960000	3.510508	-125.90381914
4.970000	3.505432	-125.91447432
4.971000	3.502660	-125.91529786
4.972000	3.493995	-125.9159791
4.973000	3.499800	-125.91627721
4.974000	3.505161	-125.91641875
4.975000	3.505132	-125.91684263
4.976000	3.501961	-125.91679161
4.977000	3.503350	-125.91784328
4.978000	3.480502	-125.91868219
4.979000	3.529963	-125.91723671
4.980000	3.536627	-125.91739815
4.981000	3.529700	-125.91666322
4.982000	3.526898	-125.91664406
4.983000	3.527832	-125.91650805
4.984000	3.507645	-125.91618017
4.985000	3.541274	-125.9149404
4.986000	3.477027	-125.91490371
4.987000	3.498301	-125.91604814
4.988000	3.519989	-125.91595075
4.989000	3.536052	-125.91214342
4.990000	3.531929	-125.91160024
4.995000	3.545758	-125.90753759
