Lattice	 Distance	 Free energy
4.955000	3.511210	-125.88980918
4.960000	3.519010	-125.89854099
4.965000	3.532684	-125.90488686
4.970000	3.530892	-125.90951928
4.971000	3.514837	-125.91075614
4.972000	3.531610	-125.91138844
4.973000	3.520240	-125.91152662
4.974000	3.510454	-125.9116455
4.975000	3.524965	-125.91176593
4.976000	3.527765	-125.91278919
4.977000	3.535242	-125.9120839
4.978000	3.521548	-125.91188488
4.979000	3.533769	-125.91170594
4.980000	3.543379	-125.9119313
4.981000	3.524138	-125.91195978
4.982000	3.541273	-125.91148904
4.983000	3.533542	-125.91169509
4.984000	3.535417	-125.91147528
4.985000	3.518320	-125.91117441
4.986000	3.519912	-125.91077519
4.987000	3.550909	-125.91085565
4.988000	3.532806	-125.90952847
4.989000	3.539341	-125.90921386
4.990000	3.543544	-125.90816621
4.995000	3.543169	-125.90373039
