Lattice	 Distance	 Free energy
4.955000	3.512084	-125.88611229
4.960000	3.533435	-125.89454466
4.965000	3.541664	-125.90110631
4.970000	3.545173	-125.90556121
4.971000	3.544625	-125.90616652
4.972000	3.542608	-125.90677737
4.973000	3.545705	-125.907446
4.974000	3.537897	-125.90792784
4.975000	3.540160	-125.90835524
4.976000	3.545156	-125.9087565
4.977000	3.549494	-125.90904826
4.978000	3.544255	-125.90920086
4.979000	3.546239	-125.90934003
4.980000	3.547572	-125.90938507
4.981000	3.548051	-125.909353
4.982000	3.548520	-125.90924453
4.983000	3.549112	-125.90902264
4.984000	3.548721	-125.90876726
4.985000	3.547745	-125.9084088
4.986000	3.549423	-125.9080634
4.987000	3.551028	-125.90758005
4.988000	3.552271	-125.9070057
4.989000	3.552252	-125.90642188
4.990000	3.550657	-125.90574456
4.995000	3.551674	-125.90122352
