Lattice	 Distance	 Free energy
4.955000	3.492173	-125.90613419
4.960000	3.495597	-125.91418409
4.965000	3.495672	-125.92021895
4.970000	3.496172	-125.92431202
4.971000	3.498476	-125.92488333
4.972000	3.495460	-125.92542912
4.973000	3.498066	-125.92589132
4.974000	3.499083	-125.92625516
4.975000	3.499122	-125.92656629
4.976000	3.495768	-125.92684711
4.977000	3.499397	-125.92703479
4.978000	3.500606	-125.92709188
4.979000	3.498396	-125.92712145
4.980000	3.501031	-125.92705502
4.981000	3.501682	-125.92692066
4.982000	3.500981	-125.9267105
4.983000	3.503722	-125.92637697
4.984000	3.496928	-125.92603147
4.985000	3.494792	-125.92555679
4.986000	3.494974	-125.92509783
4.987000	3.493486	-125.92448389
4.988000	3.492302	-125.92382452
4.989000	3.509791	-125.92312582
4.990000	3.480354	-125.92199462
4.995000	3.523919	-125.91215952
