Lattice	 Distance	 Free energy
4.820000	3.479218	-127.10885084
4.825000	3.504038	-127.1199647
4.830000	3.534485	-127.12341116
4.831000	3.534870	-127.12646382
4.832000	3.532474	-127.12580829
4.833000	3.545014	-127.1275883
4.834000	3.535004	-127.12735002
4.835000	3.536343	-127.12837967
4.836000	3.536712	-127.13033086
4.837000	3.539113	-127.13221925
4.838000	3.546159	-127.13222514
4.839000	3.542306	-127.13368976
4.840000	3.533281	-127.13509388
4.841000	3.542067	-127.13390456
4.842000	3.538122	-127.13608696
4.843000	3.522746	-127.1348534
4.844000	3.506019	-127.13629029
4.845000	3.538827	-127.1346812
4.846000	3.519727	-127.13580667
4.847000	3.538859	-127.13477782
4.848000	3.547121	-127.13512577
4.849000	3.535318	-127.13594848
4.850000	3.521198	-127.13725077
4.851000	3.569251	-127.13521579
4.852000	3.544530	-127.13561673
4.853000	3.520040	-127.13428906
4.854000	3.522982	-127.13524299
4.855000	3.505505	-127.13221423
4.856000	3.495324	-127.13171818
4.857000	3.515754	-127.13180173
4.858000	3.536136	-127.12824536
4.859000	3.513029	-127.12947668
4.860000	3.519576	-127.12870618
