Lattice	 Distance	 Free energy
4.820000	3.556359	-127.0973126
4.825000	3.556968	-127.10694842
4.830000	3.558160	-127.11441622
4.831000	3.559002	-127.1156437
4.832000	3.558379	-127.11681638
4.833000	3.558582	-127.11790691
4.834000	3.558144	-127.11889227
4.835000	3.558703	-127.11980733
4.836000	3.558387	-127.12062798
4.837000	3.559343	-127.12134474
4.838000	3.559676	-127.12197635
4.839000	3.560164	-127.12253818
4.840000	3.560002	-127.12297753
4.841000	3.561545	-127.12343127
4.842000	3.561122	-127.12384467
4.843000	3.561253	-127.12408028
4.844000	3.561565	-127.12430624
4.845000	3.561669	-127.12440314
4.846000	3.562748	-127.12439031
4.847000	3.562651	-127.12436641
4.848000	3.562893	-127.12424508
4.849000	3.563305	-127.12398567
4.850000	3.562776	-127.12368072
4.851000	3.563693	-127.12324787
4.852000	3.563203	-127.12275718
4.853000	3.563730	-127.12220158
4.854000	3.563679	-127.12155704
4.855000	3.564227	-127.12080486
4.856000	3.564836	-127.11998576
4.857000	3.565119	-127.11912873
4.858000	3.565185	-127.11814155
4.859000	3.565272	-127.117088
4.860000	3.565746	-127.11593532
