Lattice	 Distance	 Free energy
4.820000	3.508207	-127.1108595
4.825000	3.510614	-127.12051052
4.830000	3.510198	-127.12800418
4.831000	3.510874	-127.12923793
4.832000	3.511066	-127.13041644
4.833000	3.510806	-127.13151479
4.834000	3.510006	-127.13250548
4.835000	3.511164	-127.13342784
4.836000	3.511113	-127.13425528
4.837000	3.511530	-127.13497809
4.838000	3.511270	-127.13561451
4.839000	3.512432	-127.13618493
4.840000	3.512293	-127.13663083
4.841000	3.513310	-127.13709026
4.842000	3.512103	-127.13750788
4.843000	3.512691	-127.13775007
4.844000	3.512265	-127.13798169
4.845000	3.514167	-127.13808789
4.846000	3.513571	-127.13807992
4.847000	3.514198	-127.13806247
4.848000	3.514501	-127.13794744
4.849000	3.513440	-127.13769263
4.850000	3.513683	-127.13739435
4.851000	3.515760	-127.13696947
4.852000	3.513791	-127.13648277
4.853000	3.516083	-127.13593619
4.854000	3.517492	-127.13529846
4.855000	3.516665	-127.13455277
4.856000	3.515988	-127.13373974
4.857000	3.517201	-127.13289012
4.858000	3.516836	-127.13190688
4.859000	3.518423	-127.13086167
4.860000	3.517417	-127.12971373
4.861000	3.517846	-127.12849738
