Lattice	 Distance	 Free energy
4.900000	3.354198	-141.38038658
4.900000	3.350528	-141.38033518
4.900000	3.364012	-141.38040567
4.900000	3.361918	-141.38040463
4.900000	3.360301	-141.38040232
4.950000	3.362695	-141.91417989
4.950000	3.350686	-141.91405262
4.950000	3.364530	-141.91418461
4.950000	3.365789	-141.9141858
4.950000	3.373823	-141.91415135
5.000000	3.370991	-142.21146077
5.000000	3.351205	-142.21124625
5.000000	3.398371	-142.21106016
5.000000	3.373015	-142.21146362
5.000000	3.370244	-142.21147881
5.050000	3.371779	-142.29111865
5.050000	3.351699	-142.29077363
5.050000	3.399144	-142.2908796
5.050000	3.383169	-142.29112744
5.050000	3.390560	-142.2910541
5.100000	3.364623	-142.17054598
5.100000	3.352272	-142.17019446
5.100000	3.399446	-142.17064275
5.100000	3.390592	-142.17075553
5.100000	3.382681	-142.17077464
