Lattice	 Distance	 Free energy
4.900000	3.404855	-141.36401527
4.900000	3.414206	-141.36404939
4.900000	3.400431	-141.36393362
4.900000	3.448587	-141.3633601
4.900000	3.409903	-141.36404061
4.950000	3.416727	-141.89728432
4.950000	3.421218	-141.89728081
4.950000	3.401149	-141.89708997
4.950000	3.447963	-141.89683958
4.950000	3.411439	-141.89724931
5.000000	3.417329	-142.19411334
5.000000	3.423973	-142.19415006
5.000000	3.429942	-142.1941536
5.000000	3.449479	-142.19389203
5.000000	3.432058	-142.19413291
5.050000	3.430464	-142.2734278
5.050000	3.445346	-142.27339391
5.050000	3.431939	-142.27343102
5.050000	3.449716	-142.27334971
5.050000	3.435551	-142.27342742
5.100000	3.430286	-142.15245187
5.100000	3.446413	-142.15262746
5.100000	3.454340	-142.15263123
5.100000	3.450015	-142.15264008
5.100000	3.440165	-142.15259344
