Lattice	 Distance	 Free energy
4.900000	3.492507	-125.69052818
4.900000	3.487035	-125.69071449
4.900000	3.491033	-125.69048957
4.900000	3.488664	-125.69070653
4.900000	3.493634	-125.69064837
4.950000	3.501942	-125.89627734
4.950000	3.491219	-125.89636982
4.950000	3.504269	-125.89610466
4.950000	3.506766	-125.89611101
4.950000	3.500068	-125.88321111
5.000000	3.516309	-125.90594355
5.000000	3.511913	-125.90590525
5.000000	3.504188	-125.90572106
5.000000	3.516644	-125.90592487
5.000000	3.500184	-125.90561008
5.050000	3.531204	-125.74575065
5.050000	3.509941	-125.74539384
5.050000	3.533806	-125.74572863
5.050000	3.542796	-125.74574469
5.050000	3.500809	-125.74507833
5.100000	3.536583	-125.41735714
5.100000	3.537653	-125.41737395
5.100000	3.530900	-125.4172838
5.100000	3.542016	-125.41743135
5.100000	3.535238	-125.41735408
