Lattice	 Distance	 Free energy
4.900000	3.520123	-125.6802708
4.900000	3.526881	-125.68025989
4.900000	3.522634	-125.68031943
4.900000	3.516144	-125.68061276
4.900000	3.503927	-125.68216906
4.950000	3.529614	-125.88614724
4.950000	3.544817	-125.88612922
4.950000	3.537897	-125.8860511
4.950000	3.540342	-125.88606713
4.950000	3.531744	-125.88667511
5.000000	3.535785	-125.89983038
5.000000	3.535386	-125.89981459
5.000000	3.534991	-125.8997863
5.000000	3.529167	-125.89970953
5.000000	3.542746	-125.89980628
5.050000	3.548962	-125.73939865
5.050000	3.535230	-125.73907847
5.050000	3.542286	-125.73918094
5.050000	3.541280	-125.73916052
5.050000	3.557367	-125.73926368
5.100000	3.565366	-125.41061944
5.100000	3.557262	-125.41037877
5.100000	3.563715	-125.41051556
5.100000	3.566233	-125.41041862
5.100000	3.563415	-125.41037581
