Lattice	 Distance	 Free energy
4.900000	3.538149	-125.67103941
4.900000	3.533619	-125.6710356
4.900000	3.564104	-125.67065602
4.900000	3.549689	-125.67095731
4.900000	3.549420	-125.67095546
4.950000	3.564062	-125.87681827
4.950000	3.540405	-125.87707305
4.950000	3.540327	-125.8770771
4.950000	3.554049	-125.8770037
4.950000	3.541943	-125.87704626
5.000000	3.559451	-125.89484913
5.000000	3.562275	-125.89480632
5.000000	3.557766	-125.89481917
5.000000	3.551908	-125.89482656
5.000000	3.543823	-125.89473053
5.050000	3.563355	-125.73387652
5.050000	3.546355	-125.73357594
5.050000	3.557736	-125.73378139
5.050000	3.563793	-125.7338538
5.050000	3.565393	-125.73382847
5.100000	3.576102	-125.40452608
5.100000	3.573630	-125.40449376
5.100000	3.571716	-125.40448685
5.100000	3.577433	-125.40455256
5.100000	3.580295	-125.40454619
