Lattice	 Distance	 Free energy
4.600000	3.511673	-124.48234566
4.600000	3.518421	-124.47782875
4.600000	3.484373	-124.48353491
4.600000	3.496987	-124.4819843
4.600000	3.489564	-124.48145785
4.650000	3.523749	-125.47472925
4.650000	3.521933	-125.47489048
4.650000	3.529026	-125.47629874
4.650000	3.540892	-125.479059
4.650000	3.514222	-125.48011995
4.700000	3.531144	-126.22728239
4.700000	3.534008	-126.22792852
4.700000	3.535326	-126.22765534
4.700000	3.519221	-126.23029803
4.700000	3.528024	-126.22819632
4.750000	3.508451	-126.74767159
4.750000	3.521918	-126.74700763
4.750000	3.521006	-126.74635891
4.750000	3.517316	-126.74738475
4.750000	3.545270	-126.74793708
4.800000	3.520134	-127.04530236
4.800000	3.535648	-127.04527629
4.800000	3.527047	-127.0452294
4.800000	3.528575	-127.04507079
4.800000	3.519233	-127.04480501
4.850000	3.543251	-127.13171597
4.850000	3.547336	-127.13175503
4.850000	3.546769	-127.13172957
4.850000	3.542902	-127.13167226
4.850000	3.536910	-127.13130022
4.900000	3.562482	-127.01500662
4.900000	3.564948	-127.01492334
4.900000	3.549695	-127.01479575
4.900000	3.555632	-127.01490416
4.900000	3.551698	-127.01466985
