Lattice	 Distance	 Free energy
4.600000	3.525709	-124.45574915
4.600000	3.522811	-124.45569882
4.600000	3.521154	-124.45567084
4.600000	3.534666	-124.45588093
4.600000	3.523886	-124.45573146
4.650000	3.518194	-125.45530106
4.650000	3.527165	-125.45555812
4.650000	3.540039	-125.45576655
4.650000	3.537395	-125.45573581
4.650000	3.536581	-125.45572557
4.700000	3.536630	-126.21166297
4.700000	3.553417	-126.21183519
4.700000	3.540893	-126.21171686
4.700000	3.541752	-126.21172743
4.700000	3.554739	-126.21182658
4.750000	3.549903	-126.73499498
4.750000	3.574254	-126.73486534
4.750000	3.574611	-126.73475007
4.750000	3.559833	-126.73500797
4.750000	3.550482	-126.73500521
4.800000	3.540860	-127.03763143
4.800000	3.543912	-127.03765022
4.800000	3.526180	-127.03736515
4.800000	3.530394	-127.03741565
4.800000	3.541952	-127.03728354
4.850000	3.558475	-127.12353824
4.850000	3.556696	-127.12363675
4.850000	3.553687	-127.12362288
4.850000	3.557818	-127.12364708
4.850000	3.530847	-127.12315414
4.900000	3.562349	-127.00670802
4.900000	3.574841	-127.00681813
4.900000	3.565167	-127.00674231
4.900000	3.586409	-127.00676987
4.900000	3.568465	-127.00675039
