Lattice	 Free energy
5.100	-66.93307776
5.101	-66.93503951
5.102	-66.93697242
5.103	-66.9388638
5.104	-66.9406471
5.105	-66.94245068
5.106	-66.94420436
5.107	-66.94594509
5.108	-66.94765176
5.109	-66.94929177
5.110	-66.95088424
5.111	-66.95249737
5.112	-66.95407578
5.113	-66.9555623
5.114	-66.95701797
5.115	-66.95845502
5.116	-66.9598329
5.117	-66.96119078
5.118	-66.9625026
5.119	-66.96376882
5.120	-66.9649839
5.121	-66.96615835
5.122	-66.96735079
5.123	-66.96846866
5.124	-66.96957234
5.125	-66.97062184
5.126	-66.97163472
5.127	-66.97265603
5.128	-66.97356119
5.129	-66.97444428
5.130	-66.97533044
5.131	-66.97613364
5.132	-66.97691606
5.133	-66.97766724
5.134	-66.97836612
5.135	-66.97905736
5.136	-66.97969581
5.137	-66.98031156
5.138	-66.98088619
5.139	-66.98138608
5.140	-66.98186523
5.141	-66.98229552
5.142	-66.98271006
5.143	-66.98315722
5.144	-66.98349896
5.145	-66.98377394
5.146	-66.98403956
5.147	-66.9842992
5.148	-66.98452224
5.149	-66.98468138
5.150	-66.98480013
5.151	-66.98493297
5.152	-66.98499561
5.153	-66.98501309
5.154	-66.98497918
5.155	-66.98497024
5.156	-66.98490517
5.157	-66.98476732
5.158	-66.9846162
5.159	-66.98443638
5.160	-66.98422333
5.161	-66.98397248
5.162	-66.98371702
5.163	-66.98338713
5.164	-66.98300983
5.165	-66.98261379
5.166	-66.98214061
5.167	-66.98170991
5.168	-66.98122248
5.169	-66.98067068
5.170	-66.98010433
5.171	-66.9795006
5.172	-66.97887099
5.173	-66.97816514
5.174	-66.97742986
5.175	-66.97667465
5.176	-66.97591048
5.177	-66.9751172
5.178	-66.97428548
5.179	-66.97338424
5.180	-66.97248724
5.181	-66.97153824
5.182	-66.97053566
5.183	-66.96951729
5.184	-66.96846787
5.185	-66.96736948
5.186	-66.96623309
5.187	-66.96508059
5.188	-66.96389738
5.189	-66.96266211
5.190	-66.96143876
5.191	-66.96016267
5.192	-66.95881219
5.193	-66.95747786
5.194	-66.95607298
5.195	-66.95465082
5.196	-66.95315503
5.197	-66.95166373
5.198	-66.95012799
5.199	-66.94853298
5.200	-66.94693568
5.201	-66.94532569
