Lattice	 Free energy
3.000	-43.37252699
3.010	-43.13475554
3.020	-42.89704296
3.030	-42.65958133
3.040	-42.42248985
3.050	-42.18588432
3.060	-41.95031641
3.070	-41.71551244
3.080	-41.4820303
3.090	-41.24986532
3.100	-41.01935837
3.110	-40.79091557
3.120	-40.56500259
3.130	-40.34174307
3.140	-40.12115302
3.150	-39.90308009
3.160	-39.68620931
3.170	-39.46981998
3.180	-39.25370682
3.190	-39.03782564
3.200	-38.82207405
3.210	-38.60643865
3.220	-38.39092908
3.230	-38.17564482
3.240	-37.96070383
3.250	-37.74630793
3.260	-37.53266691
3.270	-37.32003276
3.280	-37.10862609
3.290	-36.89884462
3.300	-36.69090406
3.310	-36.48530957
3.320	-36.2823563
3.330	-36.08247804
3.340	-35.88582834
3.350	-35.69212793
3.360	-35.50065905
3.370	-35.31057941
3.380	-35.12120346
3.390	-34.93220331
3.400	-34.74357606
3.410	-34.55550172
3.420	-34.36825023
3.430	-34.18213376
3.440	-33.9974102
3.450	-33.81433911
3.460	-33.63313392
3.470	-33.45403312
3.480	-33.27728297
3.490	-33.10312385
3.500	-32.93170193
3.510	-32.76307967
3.520	-32.59725308
3.530	-32.43413326
3.540	-32.27350436
3.550	-32.11519072
3.560	-31.95885413
3.570	-31.80413946
3.580	-31.6507952
3.590	-31.49865013
3.600	-31.34759643
3.610	-31.19756194
3.620	-31.04841659
3.630	-30.90018191
3.640	-30.75284842
3.650	-30.60642354
3.660	-30.4608888
3.670	-30.31626159
3.680	-30.17253892
3.690	-30.0297531
3.700	-29.88791822
3.710	-29.74707913
3.720	-29.60728108
3.730	-29.46857383
3.740	-29.33102608
3.750	-29.19464796
3.760	-29.05949861
3.770	-28.92558553
3.780	-28.79292902
3.790	-28.66155675
3.800	-28.53148513
3.810	-28.402756
3.820	-28.27539473
3.830	-28.14942136
3.840	-28.02486204
3.850	-27.90170078
3.860	-27.77994652
3.870	-27.65955346
3.880	-27.54049811
3.890	-27.42275028
3.900	-27.30626178
3.910	-27.19101161
3.920	-27.07694807
3.930	-26.9640522
3.940	-26.85229957
3.950	-26.74164788
3.960	-26.63209855
3.970	-26.52361827
3.980	-26.41620188
3.990	-26.30982781
4.000	-26.20448857
4.010	-26.10017755
4.020	-25.9968711
4.030	-25.8945577
4.040	-25.79322184
4.050	-25.69282702
4.060	-25.59337331
4.070	-25.49481383
4.080	-25.39714359
4.090	-25.30032209
4.100	-25.20433203
4.110	-25.10916079
4.120	-25.01478643
4.130	-24.92120952
4.140	-24.82842423
4.150	-24.7364181
4.160	-24.64519639
4.170	-24.55473942
4.180	-24.46506749
4.190	-24.37614314
4.200	-24.28797447
4.210	-24.2005415
4.220	-24.1138483
4.230	-24.02788047
4.240	-23.94263887
4.250	-23.8581188
4.260	-23.77431894
4.270	-23.69123656
4.280	-23.60886678
4.290	-23.52720324
4.300	-23.44625719
4.310	-23.36599661
4.320	-23.28643426
4.330	-23.2075448
4.340	-23.12932059
4.350	-23.05175895
4.360	-22.97483159
4.370	-22.89853883
4.380	-22.82284789
4.390	-22.74776628
4.400	-22.67324839
4.410	-22.59929533
4.420	-22.52588801
4.430	-22.45301296
4.440	-22.38066094
4.450	-22.30882213
4.460	-22.23748777
4.470	-22.16666353
4.480	-22.09633435
4.490	-22.02651079
4.500	-21.95718493
4.510	-21.88836195
4.520	-21.82003644
4.530	-21.75220203
4.540	-21.6848627
4.550	-21.61800672
4.560	-21.55162867
4.570	-21.48572489
4.580	-21.42027381
4.590	-21.35528082
4.600	-21.29072855
4.610	-21.226612
4.620	-21.16291271
4.630	-21.09963134
4.640	-21.03675572
4.650	-20.97427688
4.660	-20.91219412
4.670	-20.85049816
4.680	-20.78917977
4.690	-20.72825564
4.700	-20.66770036
4.710	-20.6075272
4.720	-20.54772818
4.730	-20.48830343
4.740	-20.42925559
4.750	-20.3705856
4.760	-20.31228184
4.770	-20.25434845
4.780	-20.19678451
4.790	-20.13959254
4.800	-20.08275719
4.810	-20.02629901
4.820	-19.97020033
4.830	-19.91447103
4.840	-19.85910415
4.850	-19.80410641
4.860	-19.74947432
4.870	-19.69520965
4.880	-19.64130984
4.890	-19.58778274
4.900	-19.53462156
4.910	-19.48183282
4.920	-19.42941241
4.930	-19.37736107
4.940	-19.32568207
4.950	-19.27437026
4.960	-19.22342855
4.970	-19.17285353
4.980	-19.1226464
4.990	-19.07280477
5.000	-19.02332593
5.010	-18.97421362
5.020	-18.92546302
5.030	-18.87707124
5.040	-18.82904092
5.050	-18.78136471
5.060	-18.73404825
5.070	-18.68708238
5.080	-18.64046833
5.090	-18.59420432
5.100	-18.5482902
