Lattice	 Distance	 Free energy
4.900000	0.226990	-141.36401527
4.900000	0.227614	-141.36404939
4.900000	0.226695	-141.36393362
4.900000	0.229906	-141.3633601
4.900000	0.227327	-141.36404061
4.950000	0.227782	-141.89728432
4.950000	0.228081	-141.89728081
4.950000	0.226743	-141.89708997
4.950000	0.229864	-141.89683958
4.950000	0.227429	-141.89724931
5.000000	0.227822	-142.19411334
5.000000	0.228265	-142.19415006
5.000000	0.228663	-142.1941536
5.000000	0.229965	-142.19389203
5.000000	0.228804	-142.19413291
5.050000	0.228698	-142.2734278
5.050000	0.229690	-142.27339391
5.050000	0.228796	-142.27343102
5.050000	0.229981	-142.27334971
5.050000	0.229037	-142.27342742
5.100000	0.228686	-142.15245187
5.100000	0.229761	-142.15262746
5.100000	0.230289	-142.15263123
5.100000	0.230001	-142.15264008
5.100000	0.229344	-142.15259344
