Lattice	 Distance	 Free energy
4.800	2.800	-139.00687596
4.800	2.850	-139.09903605
4.800	2.900	-139.17408855
4.800	2.950	-139.23454118
4.800	3.000	-139.28264636
4.800	3.050	-139.32033093
4.800	3.100	-139.34921616
4.800	3.150	-139.37071202
4.800	3.200	-139.38601332
4.800	3.250	-139.39609811
4.800	3.350	-139.40390958
4.800	3.400	-139.40300733
4.800	3.450	-139.39960947
4.800	3.500	-139.39418675
4.800	3.550	-139.38715607
4.800	3.600	-139.37882651
4.800	3.300	-139.4018115
4.850	2.800	-140.1018753
4.850	2.850	-140.19475485
4.850	2.900	-140.27046474
4.850	2.950	-140.33147209
4.850	3.000	-140.37997797
4.850	3.050	-140.41790733
4.850	3.100	-140.44692779
4.850	3.150	-140.46849871
4.850	3.200	-140.48383466
4.850	3.250	-140.49393923
4.850	3.350	-140.501766
4.850	3.400	-140.50085383
4.850	3.450	-140.49744405
4.850	3.500	-140.49200718
4.850	3.300	-140.49966672
4.850	3.550	-140.48493567
4.850	3.600	-140.47655633
4.900	2.800	-140.91438603
4.900	2.850	-141.00781063
4.900	2.900	-141.08412943
4.900	2.950	-141.14576665
4.900	3.000	-141.19486728
4.900	3.050	-141.2333029
4.900	3.100	-141.26269594
4.900	3.150	-141.28452821
4.900	3.200	-141.30006032
4.900	3.250	-141.31033329
4.900	3.350	-141.31843765
4.900	3.400	-141.31765127
4.900	3.450	-141.31435759
4.900	3.500	-141.30901948
4.900	3.550	-141.30203029
4.900	3.600	-141.29372135
4.900	3.300	-141.31620953
4.950	2.800	-141.46446385
4.950	2.850	-141.55837885
4.950	2.900	-141.63528209
4.950	2.950	-141.69756062
4.950	3.000	-141.74731515
4.950	3.050	-141.7863751
4.950	3.100	-141.81632881
4.950	3.150	-141.83860053
4.950	3.200	-141.85447197
4.950	3.250	-141.86503591
4.950	3.350	-141.87366806
4.950	3.400	-141.87311207
4.950	3.450	-141.87004126
4.950	3.500	-141.86490826
4.950	3.300	-141.87118496
4.950	3.600	-141.84995138
4.950	3.550	-141.85809643
5.000	2.800	-141.77213923
5.000	2.850	-141.86656447
5.000	2.900	-141.94408901
5.000	2.950	-142.00706613
5.000	3.000	-142.05751664
5.000	3.050	-142.09724803
5.000	3.100	-142.12786165
5.000	3.150	-142.15073232
5.000	3.200	-142.16707819
5.000	3.250	-142.17804685
5.000	3.350	-142.18740646
5.000	3.400	-142.18715233
5.000	3.450	-142.18438598
5.000	3.500	-142.179542
5.000	3.550	-142.17298161
5.000	3.600	-142.165088
5.000	3.300	-142.18458145
5.050	2.800	-141.85685352
5.050	2.850	-141.9517939
5.050	2.900	-142.02994727
5.050	2.950	-142.09362078
5.050	3.000	-142.14478048
5.050	3.050	-142.18522056
5.050	3.100	-142.21654468
5.050	3.150	-142.24010567
5.050	3.200	-142.2570796
5.050	3.350	-142.27885628
5.050	3.400	-142.27898003
5.050	3.450	-142.27656678
5.050	3.550	-142.26581793
5.050	3.250	-142.2685996
5.050	3.300	-142.27561333
5.050	3.500	-142.27206057
5.050	3.600	-142.25822698
5.100	2.800	-141.73676103
5.100	2.850	-141.83221913
5.100	2.900	-141.91099604
5.100	2.950	-141.9753481
5.100	3.000	-142.02722069
5.100	3.050	-142.068391
5.100	3.100	-142.10043705
5.100	3.150	-142.12471634
5.100	3.200	-142.14239592
5.100	3.250	-142.15456058
5.100	3.350	-142.16585048
5.100	3.400	-142.16641105
5.100	3.450	-142.16439332
5.100	3.500	-142.1602635
5.100	3.550	-142.15438177
5.100	3.600	-142.14712989
5.100	3.300	-142.162124
5.150	2.800	-141.42827046
5.150	2.850	-141.52419984
5.150	2.900	-141.60355568
5.150	2.950	-141.66854823
5.150	3.000	-141.72111509
5.150	3.050	-141.7630096
5.150	3.100	-141.79578716
5.150	3.150	-141.82079947
5.150	3.200	-141.83920823
5.150	3.250	-141.85205559
5.150	3.300	-141.86022881
5.150	3.350	-141.86449089
5.150	3.400	-141.86553042
5.150	3.450	-141.86394353
5.150	3.550	-141.85470773
5.150	3.600	-141.84781769
5.150	3.500	-141.86020896
5.200	2.800	-140.9468005
5.200	2.850	-141.04312722
5.200	2.900	-141.12298806
5.200	2.950	-141.18855663
5.200	3.000	-141.24177001
5.200	3.050	-141.28435695
5.200	3.100	-141.31784776
5.200	3.150	-141.34357712
5.200	3.200	-141.36270365
5.200	3.300	-141.38504418
5.200	3.350	-141.38989271
5.200	3.400	-141.39145721
5.200	3.450	-141.39032823
5.200	3.500	-141.38700095
5.200	3.550	-141.38189619
5.200	3.600	-141.37537485
5.200	3.250	-141.37623492
5.250	2.800	-140.30643341
5.250	2.850	-140.40305575
5.250	2.900	-140.48333798
5.250	2.950	-140.54941954
5.250	3.000	-140.60323665
5.250	3.050	-140.64647917
5.250	3.100	-140.68064893
5.250	3.150	-140.70705899
5.250	3.200	-140.72686878
5.250	3.300	-140.7504891
5.250	3.350	-140.75593406
5.250	3.400	-140.75805035
5.250	3.450	-140.75740465
5.250	3.500	-140.75450827
5.250	3.250	-140.74105585
5.250	3.550	-140.74981357
5.250	3.600	-140.74367324
