Lattice	 Distance	 Free energy
4.900	3.300	-127.02079461
4.900	3.350	-127.02081998
4.900	3.400	-127.02082427
4.900	3.450	-127.0207672
4.900	3.500	-127.02046785
4.950	3.300	-126.71802571
4.950	3.350	-126.7180998
4.950	3.400	-126.71808889
4.950	3.450	-126.71812975
4.950	3.500	-126.71814842
5.000	3.300	-126.2452183
5.000	3.350	-126.24520546
5.000	3.400	-126.24522108
5.000	3.450	-126.24525503
5.000	3.500	-126.24517052
5.050	3.300	-125.61672111
5.050	3.350	-125.61660298
5.050	3.400	-125.61686462
5.050	3.450	-125.61684371
5.050	3.500	-125.61686693
5.100	3.300	-124.84692919
5.100	3.350	-124.84691199
5.100	3.400	-124.84701108
5.100	3.450	-124.84693119
5.100	3.500	-124.84707097
