Lattice	 Distance	 Free energy
4.900	3.300	-127.01500662
4.900	3.350	-127.01492334
4.900	3.400	-127.01479575
4.900	3.450	-127.01490416
4.900	3.500	-127.01466985
4.950	3.300	-126.71209103
4.950	3.350	-126.71185353
4.950	3.400	-126.71202752
4.950	3.450	-126.71198056
4.950	3.500	-126.71245078
5.000	3.300	-126.23869693
5.000	3.350	-126.23901338
5.000	3.400	-126.23891355
5.000	3.450	-126.23884389
5.000	3.500	-126.23884604
5.050	3.300	-125.61074947
5.050	3.350	-125.6107086
5.050	3.400	-125.61052473
5.050	3.450	-125.61052955
5.050	3.500	-125.61026126
5.100	3.300	-124.84020577
5.100	3.350	-124.84020953
5.100	3.400	-124.84017627
5.100	3.450	-124.84014996
5.100	3.500	-124.84015714
