Lattice	 Distance	 Free energy
4.900	3.300	-127.01115985
4.900	3.350	-127.01110698
4.900	3.400	-127.01106666
4.900	3.450	-127.01091081
4.900	3.500	-127.01073774
4.950	3.300	-126.70822801
4.950	3.350	-126.70819888
4.950	3.400	-126.7081752
4.950	3.450	-126.70806329
4.950	3.500	-126.70815439
5.000	3.300	-126.23535364
5.000	3.350	-126.23501277
5.000	3.400	-126.23518304
5.000	3.450	-126.23498522
5.000	3.500	-126.23489108
5.050	3.300	-125.60628758
5.050	3.350	-125.60610037
5.050	3.400	-125.60656257
5.050	3.450	-125.60601277
5.050	3.500	-125.60627417
5.100	3.300	-124.83650671
5.100	3.350	-124.83614807
5.100	3.400	-124.83605286
5.100	3.450	-124.83598207
5.100	3.500	-124.83624897
