Lattice	 Distance	 Free energy
4.600000	3.425477	-124.48866904
4.600000	3.427830	-124.4887065
4.600000	3.440910	-124.48875666
4.600000	3.424182	-124.48865587
4.600000	3.467310	-124.48832938
4.650000	3.446929	-125.48424022
4.650000	3.436854	-125.4840818
4.650000	3.440831	-125.4841547
4.650000	3.445399	-125.48422663
4.650000	3.469380	-125.48422773
4.700000	3.470253	-126.23611899
4.700000	3.471516	-126.2361176
4.700000	3.476857	-126.23610391
4.700000	3.472950	-126.23612641
4.700000	3.471039	-126.2361058
4.750000	3.502597	-126.75488565
4.750000	3.484593	-126.7549005
4.750000	3.493151	-126.75494351
4.750000	3.492000	-126.75496519
4.750000	3.473377	-126.75484509
4.800000	3.500356	-127.05156253
4.800000	3.500983	-127.05148674
4.800000	3.502842	-127.05151832
4.800000	3.480185	-127.0512671
4.800000	3.489528	-127.05156388
4.850000	3.505551	-127.13726438
4.850000	3.519616	-127.13727689
4.850000	3.505963	-127.13732357
4.850000	3.490797	-127.1370241
4.850000	3.496274	-127.13720805
4.900000	3.530479	-127.02079461
4.900000	3.523579	-127.02081998
4.900000	3.525919	-127.02082427
4.900000	3.527127	-127.0207672
4.900000	3.500802	-127.02046785
