Lattice	 Distance	 Free energy
4.900000	3.420953	-141.48668356
4.900000	3.429552	-141.48769854
4.900000	3.399444	-141.37278398
4.900000	3.431853	-141.48588334
4.900000	3.441441	-141.48466893
4.950000	3.420203	-141.93802899
4.950000	3.360887	-141.93947933
4.950000	3.399514	-141.90634364
4.950000	3.405733	-141.93723796
4.950000	3.402286	-141.93712197
5.000000	3.393213	-142.20408688
5.000000	3.397918	-142.2040363
5.000000	3.399768	-142.2034666
5.000000	3.379889	-142.20615521
5.000000	3.397159	-142.20386439
5.050000	3.394578	-142.28330763
5.050000	3.389439	-142.28318139
5.050000	3.400078	-142.28291896
5.050000	3.405680	-142.28322303
5.050000	3.415758	-142.28308755
5.100000	3.410482	-142.1627813
5.100000	3.413033	-142.1627477
5.100000	3.400617	-142.16229061
5.100000	3.405550	-142.16271126
5.100000	3.405576	-142.16267109
