Lattice	 Distance	 Free energy
4.950000	3.432000	-141.85416331
4.960000	3.432000	-141.93570021
4.970000	3.432000	-142.00753016
4.980000	3.432000	-142.07013815
4.990000	3.432000	-142.12345485
5.000000	3.432000	-142.16783197
5.010000	3.432000	-142.20311369
5.020000	3.432000	-142.23004147
5.030000	3.432000	-142.24810571
5.040000	3.432000	-142.25788047
5.050000	3.432000	-142.25918086
5.060000	3.432000	-142.2522768
5.070000	3.432000	-142.23748726
5.080000	3.432000	-142.21456367
5.090000	3.432000	-142.18407662
5.100000	3.432000	-142.14595452
5.110000	3.432000	-142.10012885
5.120000	3.432000	-142.04705701
5.130000	3.432000	-141.98667281
5.140000	3.432000	-141.91890661
5.150000	3.432000	-141.84421073
