Lattice	 Distance	 Free energy
4.950000	3.412226	-141.94161742
4.960000	3.411263	-142.0085181
4.970000	3.404567	-142.06955283
4.980000	3.403584	-142.12302971
4.990000	3.391740	-142.17098121
5.000000	3.383734	-142.21063781
5.010000	3.349513	-142.24164279
5.020000	3.381855	-142.26327444
5.030000	3.379860	-142.27957902
5.040000	3.333076	-142.28913738
5.050000	3.386451	-142.2869222
5.060000	3.379541	-142.27737866
5.070000	3.383577	-142.26108421
5.080000	3.389057	-142.23578703
5.090000	3.383516	-142.20930246
5.100000	3.392106	-142.16863267
