Lattice	 Distance	 Free energy
4.950000	3.395000	-141.8640756
4.960000	3.395000	-141.94564521
4.970000	3.395000	-142.01752583
4.980000	3.395000	-142.08016412
4.990000	3.395000	-142.1335105
5.000000	3.395000	-142.17791566
5.010000	3.395000	-142.21322659
5.020000	3.395000	-142.24019067
5.030000	3.395000	-142.25822006
5.040000	3.395000	-142.26803765
5.050000	3.395000	-142.26944175
5.060000	3.395000	-142.26258529
5.070000	3.395000	-142.24784644
5.080000	3.395000	-142.22491481
5.090000	3.395000	-142.19454545
5.100000	3.395000	-142.15647561
5.110000	3.395000	-142.11071734
5.120000	3.395000	-142.05770434
5.130000	3.395000	-141.99738299
5.140000	3.395000	-141.92968234
5.150000	3.395000	-141.85505285
