Lattice	 Distance	 Free energy
4.950000	3.383000	-141.87224432
4.960000	3.383000	-141.95389663
4.970000	3.383000	-142.02582604
4.980000	3.383000	-142.08851467
4.990000	3.383000	-142.14190971
5.000000	3.383000	-142.18636897
5.010000	3.383000	-142.22174036
5.020000	3.383000	-142.24876093
5.030000	3.383000	-142.26691746
5.040000	3.383000	-142.27679096
5.050000	3.383000	-142.27819482
5.060000	3.383000	-142.2713945
5.070000	3.383000	-142.25672198
5.080000	3.383000	-142.23391699
5.090000	3.383000	-142.20355985
5.100000	3.383000	-142.16557926
5.110000	3.383000	-142.11990034
5.120000	3.383000	-142.06697668
5.130000	3.383000	-142.00674335
5.140000	3.383000	-141.9391339
5.150000	3.383000	-141.86460576
