Lattice	 Distance	 Free energy
4.930000	3.614857	-125.82975356
4.940000	3.474556	-125.87091769
4.950000	3.477480	-125.89618945
4.960000	3.495597	-125.91418409
4.970000	3.496172	-125.92431202
4.974000	3.499083	-125.92625516
4.976000	3.495768	-125.92684711
4.978000	3.500606	-125.92709188
4.980000	3.501031	-125.92705502
4.980000	3.501031	-125.92705502
4.982000	3.500981	-125.9267105
4.984000	3.496928	-125.92603147
4.990000	3.480354	-125.92199462
5.000000	3.508144	-125.9081649
5.010000	3.503886	-125.89149654
