Lattice	 Distance	 Free energy
4.800000	3.513700	-124.64765322
4.810000	4.075007	-124.65054848
4.820000	3.457163	-124.85588617
4.830000	3.549798	-125.00617319
4.840000	3.460550	-125.17126845
4.850000	3.399646	-125.24358375
4.860000	3.400964	-125.37492711
4.870000	3.477844	-125.46979346
4.880000	4.037557	-125.42139997
4.890000	3.500570	-125.60901959
4.900000	3.530638	-125.66292612
4.910000	3.502525	-125.74772109
4.920000	3.459355	-125.79620698
4.930000	3.846642	-125.7900227
4.940000	3.493981	-125.87085359
4.950000	3.464572	-125.89589426
4.960000	3.499577	-125.91414694
4.970000	3.502198	-125.92426792
4.980000	5.514816	-125.63834362
4.990000	5.515564	-125.63651001
5.000000	5.515555	-125.62739387
5.010000	5.514770	-125.61089121
5.020000	3.519314	-125.86556322
5.040000	3.523499	-125.79160958
5.050000	3.541848	-125.74572286
5.060000	3.641422	-125.66573641
5.070000	3.518161	-125.63329629
5.080000	3.525457	-125.56780477
5.090000	3.574978	-125.49465043
5.100000	3.550601	-125.41733927
5.110000	3.548263	-125.33214473
5.120000	3.823035	-125.20583196
5.130000	3.513829	-125.14208143
5.140000	3.592939	-125.03893982
5.150000	3.692119	-124.92624604
5.180000	3.939011	-124.52857594
5.190000	4.142317	-124.34541489
5.200000	4.378946	-124.16055527
