Lattice	 Distance	 Free energy
4.800000	3.362590	-124.62227005
4.810000	3.654674	-124.73435548
4.820000	4.395302	-124.70492974
4.830000	4.902192	-124.80882437
4.840000	3.508533	-125.15472003
4.850000	3.361685	-125.22805241
4.860000	3.539336	-125.33036487
4.870000	3.433892	-125.42925047
4.880000	3.600064	-125.53606362
4.890000	3.725918	-125.58691936
4.900000	3.661710	-125.65860277
4.910000	3.594385	-125.7136043
4.920000	3.537548	-125.77591246
4.930000	3.584189	-125.82286971
4.940000	3.532874	-125.85819455
4.950000	3.512181	-125.87778971
4.960000	3.522702	-125.90303603
4.970000	3.532328	-125.91346856
4.980000	5.535577	-125.63688183
4.990000	5.535572	-125.6351016
5.000000	5.535563	-125.6259855
5.010000	5.534791	-125.6094839
5.030000	3.525990	-125.82440351
5.040000	3.544856	-125.78474462
5.050000	3.555094	-125.73914036
5.060000	3.603391	-125.67803224
5.070000	3.974943	-125.56669726
5.080000	3.572752	-125.56118117
5.090000	3.569399	-125.4888737
5.100000	3.810809	-125.38150218
5.110000	3.569133	-125.32559318
5.120000	3.676313	-125.22311814
5.130000	3.630307	-125.1095896
5.150000	3.556620	-124.92131576
5.160000	3.635876	-124.80233259
5.180000	3.554200	-124.54547694
5.190000	3.763154	-124.42026008
5.200000	3.568967	-124.30009728
