Lattice	 Distance	 Free energy
4.900000	3.572188	-125.67000983
4.910000	3.602526	-125.7260375
4.920000	3.541288	-125.77724114
4.930000	3.586028	-125.81423802
4.940000	3.553566	-125.85235759
4.950000	3.522834	-125.87807792
4.960000	3.519010	-125.89854099
4.970000	3.530892	-125.90951928
4.980000	3.543379	-125.9119313
4.990000	3.543544	-125.90816621
5.000000	3.539870	-125.89722764
5.010000	3.548798	-125.87900949
5.030000	3.547398	-125.82201273
5.040000	3.565945	-125.78237745
5.050000	3.549074	-125.73630551
