Lattice	 Distance	 Free energy
4.800000	5.031907	-124.38655273
4.810000	3.688556	-124.73813929
4.820000	3.502140	-124.90648062
4.830000	3.659818	-125.02762965
4.840000	3.598647	-125.12411776
4.850000	3.651931	-125.25333576
4.860000	3.568638	-125.36008247
4.870000	3.636583	-125.43610747
4.880000	3.518945	-125.51998658
4.890000	3.627747	-125.59960786
4.900000	3.702670	-125.65773146
4.910000	3.619760	-125.71964298
4.920000	3.478917	-125.76761324
4.930000	3.682580	-125.80878037
4.940000	3.555655	-125.85156171
4.950000	3.556069	-125.87435667
4.960000	3.537834	-125.89714102
4.970000	3.537251	-125.90874779
4.980000	5.543584	-125.63633402
4.990000	5.543576	-125.63455334
5.000000	5.543568	-125.62543784
5.010000	5.542805	-125.60893535
5.030000	3.557233	-125.8216172
5.040000	3.574595	-125.78170113
5.050000	3.564908	-125.73476989
5.060000	3.610260	-125.68064116
5.070000	3.561152	-125.60914942
5.080000	3.580314	-125.55798058
5.090000	3.571120	-125.48571402
5.100000	3.522917	-125.39487768
5.110000	3.676304	-125.25877017
5.120000	3.887998	-125.15230766
5.130000	3.762423	-125.10693415
5.140000	3.845068	-124.95204873
5.150000	4.681131	-124.75175649
5.160000	3.702064	-124.7862372
5.180000	3.675632	-124.55639175
5.190000	4.491832	-124.29247177
5.200000	4.121938	-124.19168284
