Lattice	 Distance	 Free energy
4.800000	3.502507	-127.0516626
4.810000	3.505730	-127.08544688
4.820000	3.508207	-127.1108595
4.830000	3.510198	-127.12800418
4.840000	3.512293	-127.13663083
4.840000	3.512293	-127.13663083
4.842000	3.512103	-127.13750788
4.846000	3.513571	-127.13807992
4.848000	3.514501	-127.13794744
4.850000	3.513683	-127.13739435
4.850000	3.513683	-127.13739435
4.852000	3.513791	-127.13648277
4.854000	3.517492	-127.13529846
4.856000	3.515988	-127.13373974
4.860000	3.517417	-127.12971373
4.870000	3.520055	-127.11423448
4.880000	3.522111	-127.09065131
