Lattice	 Distance	 Free energy
4.600000	3.445666	-124.48873084
4.610000	3.472886	-124.70769908
4.620000	3.473539	-124.91677906
4.630000	3.473326	-125.11598298
4.640000	3.474260	-125.30501608
4.650000	3.474587	-125.48415332
4.660000	3.475052	-125.65368179
4.670000	3.475353	-125.81344667
4.680000	3.475674	-125.96378843
4.690000	3.476016	-126.10464805
4.700000	3.476497	-126.23609832
4.710000	3.476666	-126.35818217
4.720000	3.477053	-126.47104704
4.730000	3.477426	-126.57467681
4.740000	3.477875	-126.66929027
4.750000	3.478289	-126.7549085
4.760000	3.478827	-126.83158889
4.770000	3.479090	-126.89953078
4.780000	3.479905	-126.95876545
4.790000	3.484864	-127.00948759
4.800000	3.489177	-127.05155638
4.810000	3.493060	-127.08535248
4.820000	3.500695	-127.11079249
4.830000	3.505706	-127.12798015
4.840000	3.496833	-127.13646333
4.850000	3.498172	-127.13724376
4.860000	3.497946	-127.12951642
4.870000	3.497932	-127.11398934
4.880000	3.499067	-127.09038227
4.890000	3.500215	-127.05926297
4.900000	3.502820	-127.02053145
4.910000	3.504992	-126.974414
4.920000	3.528664	-126.92123532
4.930000	3.514229	-126.86031341
4.940000	3.523994	-126.79273783
4.950000	3.532266	-126.71813879
4.960000	3.537267	-126.6368151
4.970000	3.538499	-126.54859618
4.980000	3.538810	-126.4538643
4.990000	3.544103	-126.35269985
5.000000	3.539891	-126.24516341
