Lattice	 Distance	 Free energy
4.750000	3.504880	-126.75411418
4.760000	3.500787	-126.83012034
4.770000	3.524594	-126.89704659
4.780000	3.503995	-126.95834338
4.790000	3.519764	-127.00704697
4.800000	3.517327	-127.04705543
4.810000	3.504778	-127.0815254
4.820000	3.479218	-127.10885084
4.830000	3.534485	-127.12341116
4.840000	3.533281	-127.13509388
4.850000	3.521198	-127.13725077
4.860000	3.519576	-127.12870618
4.870000	3.544861	-127.11235753
4.880000	3.556612	-127.08605918
4.890000	3.546815	-127.05511972
4.900000	3.535525	-127.0201449
