Lattice	 Distance	 Free energy
4.600000	3.445704	-124.48195984
4.610000	3.435052	-124.70549712
4.620000	3.455332	-124.91332155
4.630000	3.477698	-125.10680769
4.640000	3.515442	-125.29108397
4.650000	3.515667	-125.47062305
4.660000	3.515890	-125.64055066
4.670000	3.451371	-125.81120063
4.680000	3.470746	-125.96333435
4.690000	3.478084	-126.10049367
4.700000	3.448586	-126.23544208
4.710000	3.517229	-126.34708999
4.720000	3.517668	-126.46033279
4.730000	3.518066	-126.56438843
4.740000	3.518468	-126.6594252
4.750000	3.518890	-126.74546804
4.760000	3.519364	-126.82261524
4.770000	3.519848	-126.89103097
4.780000	3.529719	-126.95260805
4.790000	3.525890	-127.00222854
4.800000	3.534582	-127.04558087
4.810000	3.535283	-127.07986494
4.820000	3.530271	-127.1046288
4.830000	3.533085	-127.12193575
4.840000	3.535431	-127.13053198
4.850000	3.525554	-127.1309135
4.860000	3.533927	-127.12345696
4.870000	3.535950	-127.10793145
4.880000	3.534152	-127.08424517
4.890000	3.540540	-127.05321796
4.900000	3.538084	-127.01438875
4.910000	3.539276	-126.96819737
4.920000	3.568867	-126.91521897
4.930000	3.541711	-126.85393965
4.940000	3.542782	-126.78617026
4.950000	3.571965	-126.71200796
4.960000	3.574635	-126.63057087
4.970000	3.580837	-126.54234872
4.980000	3.583960	-126.447613
4.990000	3.573335	-126.34630211
5.000000	3.588414	-126.23883815
