Lattice	 Distance	 Free energy
4.800000	3.506483	-127.04353741
4.810000	3.499981	-127.07918519
4.820000	3.539539	-127.10219971
4.830000	3.543312	-127.11991244
4.840000	3.573967	-127.13106878
4.842000	3.582353	-127.13402858
4.844000	3.567460	-127.13137744
4.846000	3.555069	-127.13477402
4.848000	3.563799	-127.13388543
4.850000	3.506066	-127.13727612
4.850000	3.506075	-127.13727621
4.852000	3.589942	-127.13149554
4.854000	3.528647	-127.13282272
4.856000	3.571144	-127.1264047
4.860000	3.558762	-127.12128994
4.870000	3.551781	-127.1104727
4.880000	3.523470	-127.08650088
