Lattice	 Distance	 Free energy
4.600000	3.529788	-124.45581984
4.610000	3.529648	-124.67609795
4.620000	3.529981	-124.88594571
4.630000	3.530612	-125.08591702
4.640000	3.530962	-125.2757265
4.650000	3.531086	-125.45563724
4.660000	3.531488	-125.62595252
4.670000	3.531974	-125.78650683
4.680000	3.529250	-125.93757497
4.690000	3.533796	-126.0793312
4.700000	3.533030	-126.21158769
4.710000	3.533555	-126.33451032
4.720000	3.534059	-126.44821436
4.730000	3.534499	-126.55271924
4.740000	3.535448	-126.64825592
4.750000	3.541752	-126.73491332
4.760000	3.542966	-126.81261247
4.770000	3.545344	-126.88165773
4.780000	3.547211	-126.94200501
4.790000	3.550595	-126.99393742
4.800000	3.558124	-127.03761702
4.810000	3.554542	-127.07168594
4.820000	3.550802	-127.09713599
4.830000	3.553864	-127.11438828
4.840000	3.551176	-127.12288273
4.850000	3.552022	-127.12359792
4.860000	3.551605	-127.1158161
4.870000	3.551942	-127.1002442
4.880000	3.551369	-127.07654533
4.890000	3.551487	-127.04534053
4.900000	3.557314	-127.0066213
4.910000	3.552661	-126.96032176
4.920000	3.554218	-126.90672849
4.930000	3.553525	-126.84592816
4.940000	3.555743	-126.77816812
4.950000	3.556863	-126.70332123
4.960000	3.592538	-126.62245656
4.970000	3.592584	-126.5341835
4.980000	3.590412	-126.43938621
4.990000	3.600838	-126.33816029
5.000000	3.590936	-126.23052791
