Lattice	 Distance	 Free energy
4.600000	3.512346	-124.46739264
4.600000	3.549613	-124.47162113
4.600000	3.527999	-124.46843539
4.600000	3.571725	-124.4728088
4.600000	3.517194	-124.47327249
4.650000	3.539027	-125.4666581
4.650000	3.543179	-125.46603025
4.650000	3.550613	-125.46685355
4.650000	3.564370	-125.46811575
4.650000	3.521469	-125.47986855
4.700000	3.556065	-126.22090158
4.700000	3.549560	-126.22051141
4.700000	3.541513	-126.22003948
4.700000	3.560567	-126.22595566
4.700000	3.553647	-126.2228408
4.750000	3.546041	-126.7414487
4.750000	3.555498	-126.74124154
4.750000	3.541515	-126.74144282
4.750000	3.547833	-126.74104729
4.750000	3.555708	-126.74162438
4.800000	3.530006	-127.04168008
4.800000	3.519964	-127.04126756
4.800000	3.526602	-127.04157261
4.800000	3.522940	-127.04118756
4.800000	3.544019	-127.04132442
4.850000	3.556861	-127.12793438
4.850000	3.559083	-127.12800703
4.850000	3.560150	-127.1279657
4.850000	3.551332	-127.12796473
4.850000	3.539997	-127.12754865
4.900000	3.554870	-127.01115985
4.900000	3.565549	-127.01110699
4.900000	3.566827	-127.01106666
4.900000	3.560854	-127.01091081
4.900000	3.546107	-127.01073774
