Kpoints	 Free energy
1	-61.10192416
3	-67.81269123
5	-67.90023506
7	-67.90673752
9	-67.90758217
11	-67.90772051
13	-67.9077049
15	-67.90774422
17	-67.90775616
19	-67.90773076
21	-67.90772552
23	-67.90771562
25	-67.90773356
27	-67.90771494
29	-67.90773581
31	-67.90773055
33	-67.9077334
35	-67.90773443
37	-67.90772482
39	-67.90773421
41	-67.90772807
43	-67.90772621
45	-67.90772824
47	-67.9077236
49	-67.90772793
51	-67.90772554
53	-67.90772628
55	-67.90772826
57	-67.90772834
59	-67.90772542
61	-67.90772711
