Total Kpoints	Kpoints(X Y Z)	Lattice Constant	Free Energy
1	(1, 1, 1)	5.168999729659985	-61.10192416
9	(3, 3, 1)	5.168999729659985	-67.81269123
25	(5, 5, 1)	5.168999729659985	-67.90023506
49	(7, 7, 1)	5.168999729659985	-67.90673752
81	(9, 9, 1)	5.168999729659985	-67.90758217
121	(11, 11, 1)	5.168999729659985	-67.90772051
169	(13, 13, 1)	5.168999729659985	-67.9077049
225	(15, 15, 1)	5.168999729659985	-67.90774422
289	(17, 17, 1)	5.168999729659985	-67.90775616
361	(19, 19, 1)	5.168999729659985	-67.90773076
441	(21, 21, 1)	5.168999729659985	-67.90772552
529	(23, 23, 1)	5.168999729659985	-67.90771562
625	(25, 25, 1)	5.168999729659985	-67.90773356
729	(27, 27, 1)	5.168999729659985	-67.90771494
841	(29, 29, 1)	5.168999729659985	-67.90773581
961	(31, 31, 1)	5.168999729659985	-67.90773055
1089	(33, 33, 1)	5.168999729659985	-67.9077334
1225	(35, 35, 1)	5.168999729659985	-67.90773443
1369	(37, 37, 1)	5.168999729659985	-67.90772482
1521	(39, 39, 1)	5.168999729659985	-67.90773421
1681	(41, 41, 1)	5.168999729659985	-67.90772807
1849	(43, 43, 1)	5.168999729659985	-67.90772621
2025	(45, 45, 1)	5.168999729659985	-67.90772824
2209	(47, 47, 1)	5.168999729659985	-67.9077236
2401	(49, 49, 1)	5.168999729659985	-67.90772793
2601	(51, 51, 1)	5.168999729659985	-67.90772554
2809	(53, 53, 1)	5.168999729659985	-67.90772628
3025	(55, 55, 1)	5.168999729659985	-67.90772826
3249	(57, 57, 1)	5.168999729659985	-67.90772834
3481	(59, 59, 1)	5.168999729659985	-67.90772542
