Total Kpoints	Kpoints(X Y Z)	Lattice Constant	Free Energy
1	(1, 1, 1)	5.044000002867662	-130.12534737
9	(3, 3, 1)	5.044000002867662	-142.00195757
25	(5, 5, 1)	5.044000002867662	-142.30138538
49	(7, 7, 1)	5.044000002867662	-142.29355233
81	(9, 9, 1)	5.044000002867662	-142.28885009
121	(11, 11, 1)	5.044000002867662	-142.29489972
289	(17, 17, 1)	5.044000002867662	-142.2939736
529	(23, 23, 1)	5.044000002867662	-142.29382745
625	(25, 25, 1)	5.044000002867662	-142.29383662
729	(27, 27, 1)	5.044000002867662	-142.29391489
841	(29, 29, 1)	5.044000002867662	-142.2938687
961	(31, 31, 1)	5.044000002867662	-142.29387069
1089	(33, 33, 1)	5.044000002867662	-142.29392546
1225	(35, 35, 1)	5.044000002867662	-142.29386317
1369	(37, 37, 1)	5.044000002867662	-142.29389074
1521	(39, 39, 1)	5.044000002867662	-142.2938959
1681	(41, 41, 1)	5.044000002867662	-142.29387674
1849	(43, 43, 1)	5.044000002867662	-142.29387792
2209	(47, 47, 1)	5.044000002867662	-142.29388184
2401	(49, 49, 1)	5.044000002867662	-142.2938808
2601	(51, 51, 1)	5.044000002867662	-142.29389057
2809	(53, 53, 1)	5.044000002867662	-142.29388169
3025	(55, 55, 1)	5.044000002867662	-142.29388036
3249	(57, 57, 1)	5.044000002867662	-142.29387102
3481	(59, 59, 1)	5.044000002867662	-142.29388159
3721	(61, 61, 1)	5.044000002867662	-142.29388051
