Kpoints	 Free energy
1	-61.10192298
2	-67.39151992
3	-67.81269026
4	-67.88307808
5	-67.90023479
6	-67.90517916
7	-67.90673648
8	-67.90731941
9	-67.9075817
10	-67.90765158
11	-67.90772006
12	-67.90772173
13	-67.90770448
14	-67.90773551
15	-67.90774382
16	-67.90771966
17	-67.90775577
18	-67.90774022
19	-67.90773029
20	-67.90770284
21	-67.90772512
22	-67.90773615
23	-67.90771519
24	-67.90772254
25	-67.90773314
26	-67.90772621
27	-67.90771454
28	-67.90772466
29	-67.9077354
30	-67.90772516
31	-67.90773014
32	-67.90773531
33	-67.90773302
34	-67.90772938
35	-67.90773406
36	-67.90772032
37	-67.90772442
38	-67.90773279
39	-67.90773383
40	-67.90773151
