jobstat     E_N(7744807)    E_S(7763144)    G_N(7744808)    G_S(7763953)    D_N(7762611)
mm/dd/hh    -               -               -               -               -
08/26/14    33_b1D9         -               -               -               -
08/28/03    144_b2D8        -               70_b1D6         -               -
09/03/17    201_b5D0        -               228_b3D8        -               -
09/04/12    320_b5D5        -               247_b4D0        -               -
09/05/01    334_b5D8        -               260_b4D4        -               -
09/06/13    369_b6D2        -               296_b4D8        -               -
09/07/00    380_b6D5        -               307_b4D8        -               -
09/07/16    396_b6D8        -               323_b5D2        -               -
09/08/00    404_b6D8        -               331_b5D4        -               -
09/08/18    422_b7D0        -               349_b5D8        -               -
09/09/02    430_b7D2        -               357_b5D8        -               6_b0D3
09/09/14    442_b7D6        -               369_b5D8        -               18_b0D9
09/10/15    467_b7D8        -               394_b6D4        -               43_b1D4
09/15/02    unfinished      -               unfinished      -               150_b4D5
09/16/14    redo(7772562)   -               redo(7772569)   -               185_b5D5
09/17/15    25_b0D3         -               25_b0D4         -               211_b6D5
